constructorId,url,name,nationality,year
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1970
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss,1971
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1971
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1971
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1971
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1971
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British,1971
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British,1971
march-ford,http://en.wikipedia.org/wiki/March_Engineering,March-Ford,British,1971
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1971
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1971
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1971
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1971
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1972
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1972
connew,http://en.wikipedia.org/wiki/Connew,Connew,British,1972
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1972
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1972
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1972
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1972
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British,1972
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1972
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1972
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian,1972
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1972
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1973
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1973
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1973
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1973
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,1973
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1973
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1973
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1973
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1973
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1973
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian,1973
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1973
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander,1974
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1974
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1974
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1974
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1974
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,1974
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,1974
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1974
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British,1974
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese,1974
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1974
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1974
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,1974
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,1974
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1974
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1974
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1974
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British,1974
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British,1974
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1974
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1975
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1975
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British,1975
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1975
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1975
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1975
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,1975
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1975
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British,1975
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese,1975
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1975
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1975
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,1975
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,1975
shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Ford,British,1975
shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Matra,British,1975
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1975
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1975
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1975
